종목코드,종목명,PBR
015760,한국전력,0.2162
001040,CJ,0.1933
088350,한화생명,0.2112
000880,한화,0.1403
000150,두산,0.2079
003380,하림지주,0.255
042670,두산인프라코어,0.1731
012630,HDC,0.1526
009970,영원무역홀딩스,0.2475
032190,다우데이타,0.1587
071320,지역난방공사,0.268
058650,세아홀딩스,0.1599
003300,한일홀딩스,0.226
002030,아세아,0.2101
036530,SNT홀딩스,0.1875
092230,KPX홀딩스,0.2102
005720,넥센,0.1314
008060,대덕,0.1812
005990,매일홀딩스,0.2376
054800,아이디스홀딩스,0.226
009200,무림페이퍼,0.1826
012320,경동인베스트,0.2084
101330,모베이스,0.2492
021820,세원정공,0.19
000590,CS홀딩스,0.2449
025530,SJM홀딩스,0.2325
024830,세원물산,0.2534
141020,포티스,0.2642
114570,지스마트글로벌,0.15
039230,에이아이비트,0.1413
